Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A061ACP8	A0A0K3AS36	EPS-8	ITSN-1	CELE_Y57G11C.24|Y57G11C.24	CELE_Y116A8C.36|Y116A8C.36	WBGENE00001330	WBGENE00006405	18298590:0018:LC
A0A061ACP8	P54936	EPS-8	LIN-2	CELE_Y57G11C.24|Y57G11C.24	F17E5.1	WBGENE00001330	WBGENE00002991	16688213:0018:LC
A0A0K3AQM0	O01761	LIM-9	UNC-89	CELE_F25H5.1|F25H5.1	C09D1.1	WBGENE00006407	WBGENE00006820	19244614:0018:LC|29949401:0018:LC|19244614:0004:LC
A0A0K3AS36	G2HK03	ITSN-1	PQN-87	CELE_Y116A8C.36|Y116A8C.36	CELE_Y57A10A.18|Y57A10A.18	WBGENE00006405	WBGENE00004167	18298590:0018:LC
A0A0K3AS36	G5ECL2	ITSN-1	UNC-26	CELE_Y116A8C.36|Y116A8C.36	JC8.10	WBGENE00006405	WBGENE00006763	18298590:0018:LC
A0A0K3AS36	G5ECW9	ITSN-1	RME-4	CELE_Y116A8C.36|Y116A8C.36	CELE_F46F6.1|F46F6.1	WBGENE00006405	WBGENE00004375	18298590:0018:LC
A0A0K3AS36	G5ED84	ITSN-1	KEL-8	CELE_Y116A8C.36|Y116A8C.36	W02G9.2	WBGENE00006405	WBGENE00020952	18298590:0018:LC
A0A0K3AS36	G5EFF7	ITSN-1	UBQL-1	CELE_Y116A8C.36|Y116A8C.36	F15C11.2	WBGENE00006405	WBGENE00008852	18298590:0018:LC|23424658:0018:LC
A0A0K3AS36	G5EFY6	ITSN-1	SEC-31	CELE_Y116A8C.36|Y116A8C.36	CELE_T01G1.3|T01G1.3	WBGENE00006405	WBGENE00011338	18298590:0018:LC
A0A0K3AS36	H2L045	ITSN-1	TNS-1	CELE_Y116A8C.36|Y116A8C.36	M01E11.7	WBGENE00006405	WBGENE00006508	18298590:0018:LC
A0A0K3AS36	H2L049	ITSN-1	H2L049	CELE_Y116A8C.36|Y116A8C.36	CELE_F46H5.7|F46H5.7	WBGENE00006405	WBGENE00018522	18298590:0018:LC|23424658:0018:LC
A0A0K3AS36	H2L0I2	ITSN-1	LFI-1	CELE_Y116A8C.36|Y116A8C.36	CELE_ZC8.4|ZC8.4	WBGENE00006405	WBGENE00022500	18298590:0018:LC
A0A0K3AS36	H8ESF1	ITSN-1	H8ESF1	CELE_Y116A8C.36|Y116A8C.36	CELE_Y43F8C.6|Y43F8C.6	WBGENE00006405	WBGENE00012828	18298590:0018:LC
A0A0K3AS36	K8FDY0	ITSN-1	HPO-34	CELE_Y116A8C.36|Y116A8C.36	CELE_F29G6.3|F29G6.3	WBGENE00006405	WBGENE00009259	18298590:0018:LC
A0A0K3AS36	O01900	ITSN-1	O01900	CELE_Y116A8C.36|Y116A8C.36	CELE_F59E12.9|F59E12.9	WBGENE00006405	WBGENE00019124	18298590:0018:LC
A0A0K3AS36	O16299	ITSN-1	FIGL-1	CELE_Y116A8C.36|Y116A8C.36	F32D1.1	WBGENE00006405	WBGENE00017981	18298590:0018:LC
A0A0K3AS36	O17583	ITSN-1	LIN-10	CELE_Y116A8C.36|Y116A8C.36	C09H6.2	WBGENE00006405	WBGENE00002999	18298590:0018:LC|23424658:0018:LC
A0A0K3AS36	O76337	ITSN-1	CED-6	CELE_Y116A8C.36|Y116A8C.36	F56D2.7	WBGENE00006405	WBGENE00000420	18298590:0018:LC
A0A0K3AS36	P34397	ITSN-1	P34397	CELE_Y116A8C.36|Y116A8C.36	F10E9.3	WBGENE00006405	WBGENE00017355	18298590:0018:LC
A0A0K3AS36	P34552	ITSN-1	ALX-1	CELE_Y116A8C.36|Y116A8C.36	R10E12.1	WBGENE00006405	WBGENE00007010	18298590:0018:LC|23424658:0018:LC
A0A0K3AS36	P39055	ITSN-1	DYN-1	CELE_Y116A8C.36|Y116A8C.36	C02C6.1	WBGENE00006405	WBGENE00001130	18298590:0018:LC
A0A0K3AS36	P46582	ITSN-1	SUMV-1	CELE_Y116A8C.36|Y116A8C.36	C34E10.8	WBGENE00006405	WBGENE00016409	18298590:0018:LC
A0A0K3AS36	P90901	ITSN-1	IFA-1	CELE_Y116A8C.36|Y116A8C.36	F38B2.1	WBGENE00006405	WBGENE00002050	18298590:0018:LC
A0A0K3AS36	Q09345	ITSN-1	PCF-11	CELE_Y116A8C.36|Y116A8C.36	R144.2	WBGENE00006405	WBGENE00020092	18298590:0018:LC
A0A0K3AS36	Q17828	ITSN-1	Q17828	CELE_Y116A8C.36|Y116A8C.36	C08F8.2	WBGENE00006405	WBGENE00007444	18298590:0018:LC
A0A0K3AS36	Q17936	ITSN-1	FUBL-1	CELE_Y116A8C.36|Y116A8C.36	C12D8.1|CELE_C12D8.1	WBGENE00006405	WBGENE00007534	18298590:0018:LC
A0A0K3AS36	Q20010	ITSN-1	SAS-5	CELE_Y116A8C.36|Y116A8C.36	F35B12.5	WBGENE00006405	WBGENE00009385	18298590:0018:LC
A0A0K3AS36	Q20877	ITSN-1	Q20877	CELE_Y116A8C.36|Y116A8C.36	CELE_F56D3.1|F56D3.1	WBGENE00006405	WBGENE00018969	18298590:0018:LC
A0A0K3AS36	Q22257	ITSN-1	HCP-2	CELE_Y116A8C.36|Y116A8C.36	CELE_T06E4.1|T06E4.1	WBGENE00006405	WBGENE00001830	18298590:0018:LC
A0A0K3AS36	Q22866	ITSN-1	LEV-11	CELE_Y116A8C.36|Y116A8C.36	Y105E8B.1	WBGENE00006405	WBGENE00002978	18298590:0018:LC
A0A0K3AS36	Q6A573	ITSN-1	CDAP-2	CELE_Y116A8C.36|Y116A8C.36	CELE_Y44E3A.4|Y44E3A.4	WBGENE00006405	WBGENE00021549	18298590:0018:LC
A0A0K3AS36	Q6BER5	ITSN-1	NURF-1	CELE_Y116A8C.36|Y116A8C.36	F26H11.2	WBGENE00006405	WBGENE00009180	18298590:0018:LC
A0A0K3AS36	Q7JP67	ITSN-1	Q7JP67	CELE_Y116A8C.36|Y116A8C.36	CELE_F10D7.5|F10D7.5	WBGENE00006405	WBGENE00017342	18298590:0018:LC
A0A0K3AS36	Q8MQ70	ITSN-1	HPK-1	CELE_Y116A8C.36|Y116A8C.36	F20B6.8	WBGENE00006405	WBGENE00001994	18298590:0018:LC
A0A0K3AS36	Q93203	ITSN-1	Q93203	CELE_Y116A8C.36|Y116A8C.36	C11E4.6|CELE_C11E4.6	WBGENE00006405	WBGENE00007520	18298590:0018:LC
A0A0K3AS36	Q95XN0	ITSN-1	LIN-65	CELE_Y116A8C.36|Y116A8C.36	CELE_Y71G12B.9|Y71G12B.9	WBGENE00006405	WBGENE00022149	18298590:0018:LC
A0A0K3AS36	Q9BI71	ITSN-1	EPN-1	CELE_Y116A8C.36|Y116A8C.36	CELE_T04C10.2|T04C10.2	WBGENE00006405	WBGENE00001329	18298590:0018:LC|23424658:0018:LC
A0A0K3AS36	Q9BIF4	ITSN-1	EHS-1	CELE_Y116A8C.36|Y116A8C.36	CELE_ZK1248.3|ZK1248.3	WBGENE00006405	WBGENE00001224	18298590:0018:LC|18298590:0004:LC|27385343:0415:LC
A0A0K3AS36	Q9N4A9	ITSN-1	NADK-1	CELE_Y116A8C.36|Y116A8C.36	CELE_Y77E11A.2|Y77E11A.2	WBGENE00006405	WBGENE00022307	18298590:0018:LC
A0A0K3AS36	Q9U1W1	ITSN-1	TFG-1	CELE_Y116A8C.36|Y116A8C.36	Y63D3A.5	WBGENE00006405	WBGENE00006565	18298590:0018:LC|18298590:0004:LC|23424658:0018:LC
A0A0K3AS36	Q9U304	ITSN-1	RBM-12	CELE_Y116A8C.36|Y116A8C.36	CELE_Y106G6D.7|Y106G6D.7	WBGENE00006405	WBGENE00013703	18298590:0018:LC
A0A0K3AS36	Q9U3A6	ITSN-1	DAB-1	CELE_Y116A8C.36|Y116A8C.36	CELE_M110.5|M110.5	WBGENE00006405	WBGENE00000894	18298590:0018:LC|23424658:0018:LC
A0A0K3AS36	Q9XTY6	ITSN-1	NUM-1	CELE_Y116A8C.36|Y116A8C.36	T03D8.1	WBGENE00006405	WBGENE00003830	18298590:0018:LC
A0A0K3AS36	Q9XV50	ITSN-1	PQN-32	CELE_Y116A8C.36|Y116A8C.36	CELE_F29C12.1|F29C12.1	WBGENE00006405	WBGENE00004120	18298590:0018:LC|23424658:0018:LC
A0A0K3AS36	Q9XZI6	ITSN-1	UNC-11	CELE_Y116A8C.36|Y116A8C.36	C32E8.10	WBGENE00006405	WBGENE00006751	18298590:0018:LC
A0A0K3AS36	V6CLL5	ITSN-1	V6CLL5	CELE_Y116A8C.36|Y116A8C.36	CELE_F41H10.3|F41H10.3	WBGENE00006405	WBGENE00018316	18298590:0018:LC
A0A0K3AUI8	Q22227	DSH-1	MIG-5	C34F11.9|CELE_C34F11.9	T05C12.6	WBGENE00001101	WBGENE00003241	26780296:0018:LC
A0A0K3AV08	H2KZU7	MLK-1	SVH-2	K11D12.10	T14E8.1	WBGENE00003374	WBGENE00020504	23072806:0415:LC|22388962:0415:LC|22388962:0004:LC|27984580:0415:LC
A0A0K3AYF5	Q9N4V0	NPR-4	FLP-18	C16D6.2|CELE_C16D6.2	Y48D7A.2	WBGENE00007635	WBGENE00001461	31533726:0415:LC|19356718:0415:LC
A0A1C3NSL9	G5ECY0	AJM-1	DLG-1	C25A11.4|CELE_C25A11.4	C25F6.2|CELE_C25F6.2	WBGENE00000100	WBGENE00001006	11715019:0004:LC|18411252:0018:LC|11715019:0018:LC|26780296:0018:LC
A5PEX5	P24348	LIN-7	LET-23	CELE_Y54G11A.10|Y54G11A.10	ZK1067.1	WBGENE00002996	WBGENE00002299	8612272:0004:LC|9753323:0004:LC|9753323:0018:LC|8612272:0018:LC
A5PEX5	P54936	LIN-7	LIN-2	CELE_Y54G11A.10|Y54G11A.10	F17E5.1	WBGENE00002996	WBGENE00002991	12110687:0004:LC|16688213:0018:LC|12110687:0415:LC|9753323:0018:LC
A7DTF0	P34537	MRG-1	RFP-1	Y37D8A.9	R05D3.4	WBGENE00003406	WBGENE00007008	25564623:0004:LC|25564623:0018:LC
A7LPF8	E0AHC6	UNC-69	UNC-76	CELE_T07A5.6|T07A5.6	C01G10.11|CELE_C01G10.11	WBGENE00006802	WBGENE00006808	16725058:0096:LC|16725058:0018:LC
B1Q236	B1Q236	SYG-1	SYG-1	K02E10.8	K02E10.8	WBGENE00006365	WBGENE00006365	24485456:0114:LC
B1Q236	Q9U3P2	SYG-1	SYG-2	K02E10.8	C26G2.1	WBGENE00006365	WBGENE00007750	15035988:0415:LC|24485456:0065:LC|24485456:0107:LC|24485456:0040:LC|24485456:0114:LC
B3GWA1	B3GWA1	NONO-1	NONO-1	CELE_F25B5.7|F25B5.7	CELE_F25B5.7|F25B5.7	WBGENE00017778	WBGENE00017778	26435036:0114:LC
B4E3X6	B4E3X6	SPDS-1	SPDS-1	CELE_Y46G5A.19|Y46G5A.19	CELE_Y46G5A.19|Y46G5A.19	WBGENE00012909	WBGENE00012909	16226262:0114:LC
B6VQ60	Q21209	BRC-1	BRD-1	C36A4.8	K04C2.4	WBGENE00000264	WBGENE00000265	14711411:0018:LC|14711411:0096:LC
C1P629	C1P629	CFIM-2	CFIM-2	CELE_D1046.1|D1046.1	CELE_D1046.1|D1046.1	WBGENE00008362	WBGENE00008362	12445390:0018:LC|12445390:0398:LC
C1P633	G5EE23	MAGI-1	G5EE23	CELE_K01A6.2|K01A6.2	CELE_F10G8.8|F10G8.8	WBGENE00010444	WBGENE00008666	26780296:0018:LC
C1P633	O44326	MAGI-1	HMP-2	CELE_K01A6.2|K01A6.2	K05C4.6	WBGENE00010444	WBGENE00001979	26780296:0018:LC|26780296:0090:LC
C1P633	O45952	MAGI-1	CSC-1	CELE_K01A6.2|K01A6.2	Y48E1B.12	WBGENE00010444	WBGENE00000804	26780296:0018:LC
C1P633	Q09485	MAGI-1	RPY-1	CELE_K01A6.2|K01A6.2	C18H9.7	WBGENE00010444	WBGENE00004507	26780296:0018:LC
C1P633	Q9U9K0	MAGI-1	ADD-1	CELE_K01A6.2|K01A6.2	F39C12.2	WBGENE00010444	WBGENE00000072	26780296:0018:LC
C6KRM7	C6KRM7	RIG-5	RIG-5	C36F7.4|CELE_C36F7.4	C36F7.4|CELE_C36F7.4	WBGENE00004372	WBGENE00004372	31043568:0114:LC
C6KRM7	G5ED00	RIG-5	ZIG-8	C36F7.4|CELE_C36F7.4	Y39E4B.8	WBGENE00004372	WBGENE00006985	31043568:0114:LC
C6KRN1	Q93794	SAO-1	SEL-10	R10D12.14	F55B12.3	WBGENE00011195	WBGENE00004767	22209900:0018:LC
D0Z5N1	D0Z5N1	CRH-1	CRH-1	CELE_Y41C4A.4|Y41C4A.4	CELE_Y41C4A.4|Y41C4A.4	WBGENE00000793	WBGENE00000793	23661758:0055:LC
D9PTP5	Q9GYJ9	SNX-6	SNX-1	CELE_Y59A8B.22|Y59A8B.22	C05D9.1|CELE_C05D9.1	WBGENE00013354	WBGENE00004927	21148288:0004:LC|21148288:0018:LC|21148288:0096:LC
E2JKZ0	P23678	DNC-1	UNC-104	CELE_ZK593.5|ZK593.5	C52E12.2	WBGENE00001017	WBGENE00006831	21195138:0090:LC|30311677:0018:LC
G5EBE3	G5EBE3	CIR-1	CIR-1	CELE_F55F8.4|F55F8.4	CELE_F55F8.4|F55F8.4	WBGENE00018892	WBGENE00018892	20478293:0018:LC
G5EBE5	G5ECU7	ZIP-5	JUN-1	C34D1.5|CELE_C34D1.5	T24H10.7	WBGENE00007932	WBGENE00012005	23661758:0055:LC
G5EBF3	G5EET8	PUD-2.1	PUD-1.2	CELE_F15E11.1|CELE_F15E11.14|F15E11.1|F15E11.14	CELE_F15E11.13|CELE_Y19D10B.7|F15E11.13|Y19D10B.7	WBGENE00017490|WBGENE00017500	WBGENE00017499|WBGENE00021236	23799143:0114:LC|23799143:0004:LC
G5EBF5	G5EBF5	RDE-4	RDE-4	CELE_T20G5.11|T20G5.11	CELE_T20G5.11|T20G5.11	WBGENE00004326	WBGENE00004326	12445390:0018:LC|12445390:0398:LC|15790806:0018:LC
G5EBF5	Q17561	RDE-4	ALY-1	CELE_T20G5.11|T20G5.11	C01F6.5|CELE_C01F6.5	WBGENE00004326	WBGENE00000120	15790806:0018:LC
G5EBG0	Q20305	HIM-3	HTP-1	CELE_ZK381.1|ZK381.1	CELE_F41H10.10|F41H10.10	WBGENE00001862	WBGENE00002032	25446517:0114:LC
G5EBG0	Q95XC8	HIM-3	HTP-2	CELE_ZK381.1|ZK381.1	CELE_Y73B6BL.2|Y73B6BL.2	WBGENE00001862	WBGENE00002033	25446517:0114:LC
G5EBK3	G5EDM4	ERM-1	NRFL-1	C01G8.5|CELE_C01G8.5	C01F6.6	WBGENE00001333	WBGENE00006438	26780296:0096:LC|26780296:0004:LC|26780296:0018:LC
G5EBK3	H2KYV3	ERM-1	H2KYV3	C01G8.5|CELE_C01G8.5	C18B2.5|CELE_C18B2.5	WBGENE00001333	WBGENE00015956	26780296:0090:LC|26780296:0018:LC
G5EBK4	O02333	ATG-7	O02333	CELE_M7.5|M7.5	CELE_T24D1.3|T24D1.3	WBGENE00010882	WBGENE00011986	12445390:0018:LC|12445390:0398:LC
G5EBL8	P91870	SAS-7	SPD-2	CELE_T07C4.10|T07C4.10	F32H2.3	WBGENE00011562	WBGENE00004953	28092264:0018:LC
G5EBR3	G5EBR3	GLC-1	GLC-1	F11A5.10	F11A5.10	WBGENE00001591	WBGENE00001591	25143115:0114:LC|22884106:0071:LC|21572436:0114:LC
G5EBU5	Q17549	KCA-1	MAGU-2	1F328|C10H11.10|CELE_C10H11.10	C01B7.4|CELE_C01B7.4	WBGENE00015698	WBGENE00006467	26780296:0096:LC|26780296:0018:LC
G5EBV0	Q93244	EGL-9	CYSL-1	F22E12.4	C17G1.7	WBGENE00001178	WBGENE00007653	22405203:0004:LC|22405203:0018:LC|22405203:0007:LC|24100226:0415:LC
G5EBV3	O61528	MIG-2	UNC-73	C35C5.4|CELE_C35C5.4	CELE_F55C7.7|F55C7.7	WBGENE00003239	WBGENE00006805	12972602:0415:LC|12297102:0415:LC|12297102:0018:LC
G5EBX2	G5EBX2	G5EBX2	G5EBX2	CELE_R07B7.2|R07B7.2	CELE_R07B7.2|R07B7.2	WBGENE00011087	WBGENE00011087	12445390:0018:LC|12445390:0398:LC
G5EBX2	Q20305	G5EBX2	HTP-1	CELE_R07B7.2|R07B7.2	CELE_F41H10.10|F41H10.10	WBGENE00011087	WBGENE00002032	12445390:0018:LC|12445390:0398:LC
G5EBX2	Q9TZK8	G5EBX2	MEG-4	CELE_R07B7.2|R07B7.2	C36C9.1|CELE_C36C9.1	WBGENE00011087	WBGENE00016485	12445390:0018:LC|12445390:0398:LC
G5EBZ1	Q22145	XPF-1	HIM-18	C47D12.8|CELE_C47D12.8	CELE_T04A8.15|T04A8.15	WBGENE00008140	WBGENE00011415	19936019:0018:LC|23874210:0018:LC
G5EBZ1	Q93456	XPF-1	ERCC-1	C47D12.8|CELE_C47D12.8	CELE_F10G8.7|F10G8.7	WBGENE00008140	WBGENE00008665	19936019:0018:LC|23874210:0018:LC
G5EC06	G5ECU1	FTR-1	SKR-1	CELE_Y113G7B.4|Y113G7B.4	F46A9.5	WBGENE00013756	WBGENE00004807	11864566:0018:LC|15630478:0018:LC
G5EC32	P19826	SORB-1	DEB-1	Y45F10D.13	ZC477.9	WBGENE00012891	WBGENE00000942	28978740:0018:LC
G5EC32	Q9BIF4	SORB-1	EHS-1	Y45F10D.13	CELE_ZK1248.3|ZK1248.3	WBGENE00012891	WBGENE00001224	23424658:0018:LC
G5EC36	P20271	LIM-7	CEH-14	C04F1.3	F46C8.5	WBGENE00002989	WBGENE00000438	28676648:0018:LC
G5EC44	G5EFI9	MRT-2	HUS-1	Y41C4A.14	CELE_H26D21.1|H26D21.1	WBGENE00003417	WBGENE00002042	12445383:0004:LC|12445383:0018:LC
G5EC44	Q9GYG1	MRT-2	ZTF-8	Y41C4A.14	CELE_ZC395.8|ZC395.8	WBGENE00003417	WBGENE00022598	25819793:0004:LC|25819793:0018:LC|25329393:0018:LC
G5EC86	O61707	OMA-1	TAF-4	C09G9.6	CELE_R119.6|R119.6	WBGENE00003864	WBGENE00006385	18854162:0096:LC|15870463:0018:LC|18854162:0018:LC
G5EC86	Q9XTF3	OMA-1	MBK-2	C09G9.6	F49E11.1	WBGENE00003864	WBGENE00003150	16338136:0415:LC|16343905:0415:LC|16289132:0415:LC
G5ECB9	Q95YF3	MEX-1	CGH-1	CELE_W03C9.7|W03C9.7	C07H6.5	WBGENE00003228	WBGENE00000479	12445390:0018:LC|12445390:0398:LC
G5ECC3	G5EDI2	RME-1	RET-1	CELE_W06H8.1|W06H8.1	CELE_W06A7.3|W06A7.3	WBGENE00004373	WBGENE00004336	12054525:0004:LC|12054525:0018:LC
G5ECC3	P34552	RME-1	ALX-1	CELE_W06H8.1|W06H8.1	R10E12.1	WBGENE00004373	WBGENE00007010	17997305:0018:LC|17997305:0004:LC|23424658:0018:LC
G5ECF0	Q03206	RIN-1	CED-10	C48G7.3|CELE_C48G7.3	C09G12.8	WBGENE00008183	WBGENE00000424	23900541:0018:LC|23900541:0004:LC
G5ECF1	G5EF47	SMG-5	SMG-7	CELE_W02D3.8|W02D3.8	CELE_Y73B6A.4|Y73B6A.4	WBGENE00004883	WBGENE00004885	12554664:0004:LC|12554664:0019:LC|23348841:0096:LC|23348841:0004:LC|23348841:0114:LC|12554664:0018:LC
G5ECG0	G5ECY0	TAC-1	DLG-1	Y54E2A.3	C25F6.2|CELE_C25F6.2	WBGENE00006381	WBGENE00001006	26780296:0096:LC|26780296:0004:LC|26780296:0018:LC
G5ECG0	Q21209	TAC-1	BRD-1	Y54E2A.3	K04C2.4	WBGENE00006381	WBGENE00000265	14711411:0018:LC
G5ECG0	Q22227	TAC-1	MIG-5	Y54E2A.3	T05C12.6	WBGENE00006381	WBGENE00003241	26780296:0018:LC
G5ECG2	G5ECU7	FOS-1	JUN-1	F29G9.4	T24H10.7	WBGENE00001345	WBGENE00012005	19570917:0415:LC|18586101:0090:LC|23661758:0055:LC
G5ECG2	O44408	FOS-1	KGB-1	F29G9.4	T07A9.3	WBGENE00001345	WBGENE00002187	23352664:0415:LC|23437011:0004:LC|23437011:0415:LC
G5ECJ4	G5ECJ4	MEC-8	MEC-8	CELE_F46A9.6|F46A9.6	CELE_F46A9.6|F46A9.6	WBGENE00003172	WBGENE00003172	28003515:0114:LC|PDB_6DG0:0114:LC
G5ECQ1	Q23023	UNC-14	UNC-51	CELE_K10D3.2|K10D3.2	Y60A3A.1	WBGENE00006753	WBGENE00006786	9242488:0004:LC|9242488:0018:LC|15539493:0424:LC|15539493:0415:LC|15563606:0018:LC|20392746:0415:LC|15539493:0007:LC
G5ECR7	Q9BKS1	ELB-1	ELC-1	CELE_Y41C4A.10|Y41C4A.10	CELE_Y82E9BR.15|Y82E9BR.15	WBGENE00001235	WBGENE00001236	15973501:0018:LC
G5ECU1	O01606	SKR-1	O01606	F46A9.5	CELE_T10E9.1|T10E9.1	WBGENE00004807	WBGENE00020411	11864566:0018:LC
G5ECU1	O16525	SKR-1	FBXA-196	F46A9.5	CELE_T05H4.2|T05H4.2	WBGENE00004807	WBGENE00020265	11864566:0018:LC
G5ECU1	O45285	SKR-1	FBXA-167	F46A9.5	C31C9.3|CELE_C31C9.3	WBGENE00004807	WBGENE00007837	11864566:0018:LC
G5ECU1	Q17389	SKR-1	CUL-1	F46A9.5	D2045.6	WBGENE00004807	WBGENE00000836	18718460:0018:LC|11864567:0018:LC|11864566:0004:LC|11864566:0018:LC|28739890:0018:LC
G5ECU1	Q17962	SKR-1	Q17962	F46A9.5	C14B1.3|CELE_C14B1.3	WBGENE00004807	WBGENE00007574	11864566:0018:LC
G5ECU1	Q18223	SKR-1	FSN-1	F46A9.5	C26E6.5	WBGENE00004807	WBGENE00001499	11864566:0018:LC
G5ECU1	Q2YS43	SKR-1	FOG-2	F46A9.5	CELE_Y113G7B.5|Y113G7B.5	WBGENE00004807	WBGENE00001482	15630478:0018:LC
G5ECU1	Q93794	SKR-1	SEL-10	F46A9.5	F55B12.3	WBGENE00004807	WBGENE00004767	11731503:0018:LC|29496961:0004:LC|29496961:0018:LC|18718460:0018:LC|11864566:0018:LC
G5ECW9	Q9U2C3	RME-4	RAB-35	CELE_F46F6.1|F46F6.1	CELE_Y47D3A.25|Y47D3A.25	WBGENE00004375	WBGENE00004284	18354496:0004:LC|18354496:0018:LC|18354496:0007:LC|30220571:0018:LC
G5ECY0	G5ECY0	DLG-1	DLG-1	C25F6.2|CELE_C25F6.2	C25F6.2|CELE_C25F6.2	WBGENE00001006	WBGENE00001006	20004187:0018:LC|18411252:0018:LC|26780296:0018:LC
G5ECY0	P91820	DLG-1	LST-1	C25F6.2|CELE_C25F6.2	CELE_T22A3.3|T22A3.3	WBGENE00001006	WBGENE00003083	26780296:0018:LC
G5ECY0	Q20748	DLG-1	ATAD-3	C25F6.2|CELE_C25F6.2	F54B3.3	WBGENE00001006	WBGENE00010015	20004187:0018:LC|27506200:0004:LC|27506200:0018:LC
G5ECY4	Q17389	SKR-8	CUL-1	C52D10.9|CELE_C52D10.9	D2045.6	WBGENE00004814	WBGENE00000836	11864567:0018:LC|11864566:0004:LC|11864566:0018:LC
G5ECY6	Q09349	CHN-1	UFD-2	CELE_T09B4.10|T09B4.10	T05H10.5	WBGENE00000500	WBGENE00006734	17369820:0004:LC|17369820:0018:LC|15294159:0004:LC|15294159:0018:LC
G5ED00	G5ED00	ZIG-8	ZIG-8	Y39E4B.8	Y39E4B.8	WBGENE00006985	WBGENE00006985	31043568:0114:LC
G5ED39	Q18235	SEP-1	IFY-1	Y47G6A.12	C27A2.3	WBGENE00004775	WBGENE00002068	28263324:0114:LC|12498686:0096:LC|12498686:0018:LC|12498686:0004:LC
G5ED84	Q10943	KEL-8	ARF-1.2	W02G9.2	B0336.2	WBGENE00020952	WBGENE00000182	14992718:0018:LC
G5EDD8	O01606	SKR-2	O01606	CELE_F46A9.4|F46A9.4	CELE_T10E9.1|T10E9.1	WBGENE00004808	WBGENE00020411	11864566:0018:LC
G5EDD8	O16525	SKR-2	FBXA-196	CELE_F46A9.4|F46A9.4	CELE_T05H4.2|T05H4.2	WBGENE00004808	WBGENE00020265	11864566:0018:LC
G5EDD8	Q17389	SKR-2	CUL-1	CELE_F46A9.4|F46A9.4	D2045.6	WBGENE00004808	WBGENE00000836	11864567:0018:LC|11864566:0004:LC|11864566:0018:LC|28739890:0018:LC
G5EDD8	Q17962	SKR-2	Q17962	CELE_F46A9.4|F46A9.4	C14B1.3|CELE_C14B1.3	WBGENE00004808	WBGENE00007574	11864566:0018:LC
G5EDD8	Q19116	SKR-2	Q19116	CELE_F46A9.4|F46A9.4	CELE_F02D10.6|F02D10.6	WBGENE00004808	WBGENE00008526	12445390:0018:LC|12445390:0398:LC
G5EDD8	Q20775	SKR-2	Q20775	CELE_F46A9.4|F46A9.4	CELE_F54D5.9|F54D5.9	WBGENE00004808	WBGENE00010053	12445390:0018:LC|12445390:0398:LC
G5EDE7	G5EDL3	TPXL-1	AIR-1	1C866|CELE_Y39G10AR.12|Y39G10AR.12	CELE_K07C11.2|K07C11.2	WBGENE00021470	WBGENE00000098	16054030:0004:LC|16054030:0415:LC
G5EDL0	Q21502	LIN-1	MEP-1	C37F5.1|CELE_C37F5.1	M04B2.1	WBGENE00002990	WBGENE00003218	25567989:0018:LC|15689373:0018:LC
G5EDL3	P34331	AIR-1	PLK-1	CELE_K07C11.2|K07C11.2	C14B9.4	WBGENE00000098	WBGENE00004042	27068477:0415:LC|25753036:0415:LC
G5EDM7	Q95QI7	DAF-5	DAF-3	W01G7.1	F25E2.5	WBGENE00000901	WBGENE00000899	14992718:0096:LC|14681186:0018:LC|14992718:0018:LC|14992718:0004:LC
G5EDN6	Q0G819	CNB-1	TAX-6	F55C10.1	C02F4.2	WBGENE00000554	WBGENE00006527	12221132:0018:LC|15522306:0018:LC
G5EDW1	Q22618	ADBP-1	ADR-2	VW02B12L.4	T20H4.4	WBGENE00012157	WBGENE00000080	18780728:0004:LC|18780728:0018:LC
G5EDX7	G5EDX7	FOG-3	FOG-3	C03C11.2|CELE_C03C11.2	C03C11.2|CELE_C03C11.2	WBGENE00001483	WBGENE00001483	29949762:0114:LC|29949762:0096:LC
G5EDY3	Q17389	SKR-7	CUL-1	CELE_Y47D7A.1|Y47D7A.1	D2045.6	WBGENE00004813	WBGENE00000836	11864567:0018:LC|11864566:0004:LC|11864566:0018:LC
G5EE37	O01427	ICP-1	AIR-2	CELE_Y39G10AR.13|Y39G10AR.13	B0207.4	WBGENE00002047	WBGENE00000099	25073157:0415:LC|15916946:0424:LC|12048181:0415:LC
G5EE56	H2KYA1	SRC-1	PRKL-1	Y92H12A.1	CELE_ZK381.5|ZK381.5	WBGENE00005077	WBGENE00022727	26780296:0018:LC
G5EE56	Q09442	SRC-1	SAP-49	Y92H12A.1	C08B11.5	WBGENE00005077	WBGENE00004723	26780296:0018:LC
G5EE56	Q9BIF4	SRC-1	EHS-1	Y92H12A.1	CELE_ZK1248.3|ZK1248.3	WBGENE00005077	WBGENE00001224	26780296:0090:LC|26780296:0018:LC
G5EE67	Q17389	SKR-3	CUL-1	CELE_F44G3.6|F44G3.6	D2045.6	WBGENE00004809	WBGENE00000836	11864567:0018:LC|11864566:0004:LC|11864566:0018:LC
G5EEB1	G5EFN6	FRPR-18	FLP-2	CELE_T19F4.1|T19F4.1	CELE_W07E11.3|W07E11.3	WBGENE00020586	WBGENE00001445	24533288:0415:LC|15809090:0415:LC
